id,occ_title,a_mean,is_selected,last_updated
1,"Natural Sciences Managers","156,110",0,NULL
2,"Training and Development Managers","128,800",0,NULL
3,"Data Scientists","108,660",0,NULL
4,"Training and Development Managers","128,800",0,NULL
5,"Data Scientists","108,660",0,NULL
6,"Property, Real Estate, and Community Association Managers","70,030",0,NULL
7,"Other Management Occupations","107,230",0,NULL
8,"Education Administrators, Postsecondary","111,260",0,NULL
9,"Miscellaneous Mathematical Science Occupations","77,960",0,NULL
10,"Cartographers and Photogrammetrists","73,510",0,NULL
11,"Farmers, Ranchers, and Other Agricultural Managers","78,440",0,NULL
12,"Training and Development Specialists","67,620",0,NULL
13,"Mathematical Science Occupations, All Other","77,960",0,NULL
14,"Farmers, Ranchers, and Other Agricultural Managers","78,440",0,NULL
15,"Architecture and Engineering Occupations","91,740",0,NULL
16,"Construction Managers","108,210",0,NULL
17,"Architects, Surveyors, and Cartographers","82,880",0,NULL
18,"Architects, Except Naval","89,400",0,NULL
19,"Construction Managers","108,210",0,NULL
20,"Education Administrators, All Other","94,730",0,NULL
21,"Education and Childcare Administrators","99,280",0,NULL
22,"Cost Estimators","73,740",0,NULL
23,"Market Research Analysts and Marketing Specialists","76,080",0,NULL
24,"Architects, Except Landscape and Naval","91,900",0,NULL
25,"Market Research Analysts and Marketing Specialists","76,080",0,NULL
26,"Education and Childcare Administrators, Preschool and Daycare","53,800",0,NULL
27,Surveyors,"68,880",0,NULL
28,"Landscape Architects","74,980",0,NULL
29,"Architectural and Engineering Managers","158,970",0,NULL
30,"Computer Hardware Engineers","136,230",0,NULL
31,"Atmospheric and Space Scientists","96,880",0,NULL
32,"Compensation, Benefits, and Job Analysis Specialists","73,810",0,NULL
33,"Human Resources Specialists","70,720",0,NULL
34,"Electrical and Electronics Engineers","110,670",0,NULL
35,"Miscellaneous Business Operations Specialists","79,240",0,NULL
36,"Postmasters and Mail Superintendents","81,820",0,NULL
37,"Atmospheric and Space Scientists","96,880",0,NULL
38,"Cost Estimators","73,740",0,NULL
39,"Business Operations Specialists, All Other","79,240",0,NULL
40,"Education Administrators, Kindergarten through Secondary","102,650",0,NULL
